@relation js_obfuscation
@attribute ngrams STRING
@attribute class {malicious,benign,obfuscated}
@data
"_PAR ARAM PARA PLAY AYER LAYE YER_ RAM_ _PLA ER_P AMS_ ASE_ RAMS R_PA CONT M_PL AME_ CASE E_PA NAME ALUE AM_N AM_P LUE_ M_NA VALU _CAS _NAM _VAL RUE_ TRUE _TRU UE_F LSE_ ALSE FALS _CON _FAL AUTO ECT_ NTRO ONTR TROL _AUT E_FA FILE ILE_ _FIL ART_ IGHT",benign
"ATCH BATC TCH_ _DWR _BAT DWRE ENGI GINE INE_ NGIN RENG WREN NE__ _IF_ ANDL HAND NDLE DATA ATA_ _VAR VAR_ _HAN AME_ DLER TION ION_ CTIO FUNC NCTI UNCT _FUN CALL NAME _CAL ENT_ MAP_ MENT CH_M _DAT ENGT GTH_ LENG NGTH NULL _LEN _NUL H_MA ULL_ E__B __BA",benign
"HIS_ THIS _THI TYPE _IF_ YPE_ _RET VAR_ _VAR EVEN VENT _EL_ ENT_ ETUR ION_ RETU TION TURN URN_ CTIO _FN_ FUNC NCTI UNCT _FUN _LEN ERS_ LIST ENER LSE_ ISTE STEN TENE OBJ_ STYP SUBS _OBJ _STY _EV_ BSCR CRIB RIBE SCRI UBSC _TYP COPE EGAC GACY LEGA OPE_",benign
"_GET IZE_ SIZE MENT VAR_ _IF_ _VAR ION_ TION T_GE WYSC ZDNI _ZDN YSC_ GODZ ZGOD ZMIN _ZGO _ZMI DNIF EIGH FSIZ GHT_ HEIG IGHT NIF_ _FSI AKT_ AR_Z CTIO CUME DOCU ENT_ FUNC IF_Z NCTI OCUM UMEN UNCT _AKT _DOC _FUN _SCR _WYS DNI_ DTH_ DZF_ FLH_ IDTH IME_",benign
"N4P_ RTN4 TN4P _RTN R_RT VAR_ _VAR AR_R ASS_ CLAS LASS _CLA 4P_D 4P_S 4P_C ITLE SRC_ TITL TLE_ _SRC HOTO OTO_ PHOT _PHO 4P_I DESC ESC_ E_VA P_CL _DES TER_ A_RT DTRA EDTR F_RT REDT TRAM _IF_ _RED AIN_ DOMA MAIN OMAI STYL TYLE _DOM _STY _TIT 4P_P AFTE",benign
"BBS_ _BBS BBN_ _BBN AGE_ ANGU E_BB GUAG IPT_ LANG NGUA PI_U UAGE ABLE BBH_ BLED DATE ED_U ENAB GE_U JAVA LED_ L_BB NABL TH_U _BBH _JAV _SCR ASCR ATE_ AVAI AVAS BN_C BS_A BS_D BS_L CRIP CR_I DEPT DEVI DTH_ D_BB EIGH EPTH ERLA ETTI EVIC EW_D EXT_ E_GE",benign
"MENT ELEM TELE BYID CUME DOCU EMEN ENTB ENT_ ETEL GETE LEME NTBY NT_G OCUM TBYI T_GE UMEN YID_ _DOC _GET STYL TYLE YLE_ _STY PRIC RICE DISP E_DI ISPL LAY_ LE_D PLAY SPLA _DIS ACA_ CESE ESEL ICES PRAC RACA _PRA _PRI ID_S ION_ CTIO ID_F INDE TION ALUE",benign
"ASH_ FLAS LASH _FLA CKWA HOCK KWAV OCKW SHOC WAVE _SHO EST_ JEST ST_F T_FL _JES AVEF BJEC ECT_ EFLA JECT OBJE VEFL ENT_ ATOR AVIG GATO IGAT NAVI TOR_ VIGA _NAV CUME DOCU ITE_ MENT NT_W OCUM RITE T_WR UMEN WRIT _DOC _WRI N_DO _N_D ATEO CREA CT_C CT_S",benign
"ENT_ NT_W CUME DOCU MENT OCUM RITE T_WR UMEN WRIT _DOC _WRI FLAS LASH AME_ NAME _NAM ELN_ ITEL TELN _FLA ASH_ ALUE AM_N ARAM LUE_ M_NA PARA RAM_ VALU _PAR _VAL ITE_ FFFF DTH_ EIGH GHT_ HEIG IDTH IGHT WIDT _HEI _WID LN_P N_PA _COM PLAY AYER LAYE ION_",benign
"HIS_ THIS _THI ION_ _GET ATTR BUTE IBUT RIBU TRIB TTRI ETAT TATT UTE_ _IF_ _VAR S_GE IS_G TION VAR_ BJEC CEPT CONC DECO ECON ECT_ EPT_ JECT NCEP OBJE ONCE _DEC ETUR GETA RETU TURN URN_ _RET ERSI RSIO SION VERS CTIO _SWF ABLE ARAM ARIA FUNC IABL NCTI",benign
"ALUE LUE_ VALU ARCH CHVA EARC HVAL RCHV RSEA SEAR STRS TRSE _STR E_ST UE_S ACE_ D_VA ELD_ E_RE FIEL IELD INPF LD_V NPFI PFIE _INP UE_R _VAL CE_S EMOV ENGT EPLA E_LE GTH_ HITE LACE LENG MOVE NGTH OVE_ PACE PLAC REMO REPL SPAC UE_L WHIT _LEN _REM _REP",benign
"_SCR APE_ CAPE CRIP ESCA IPT_ NESC PE_3 RIPT SCAP SCRI UNES _UNE 3C_S ATIO CATI COL_ CREE C_SC EEN_ E_3C E_3E ION_ LOCA N_PR OCAT OCOL OL_S ON_P OTOC PROT PT_U REEN ROTO SCRE TION TOCO T_UN _3C_ _3E_ _AD_ _ID_ _LOC _PL_ _PRO 0_4_ 1_AD 3E_3 4_HT 5F_C",benign
"_OBJ VAR_ _EL_ _VAR _IF_ ENT_ ELEM EVEN OBJ_ VENT MENT INDE CLAS EMEN LASS LEME NAME OBJS NDEX MOVE ASS_ DEX_ AME_ TELE NODE ODE_ ION_ DOW_ INDO NDOW S_I_ TION WIND _FUN _WIN CTIO FUNC NCTI UNCT CITY DER_ FADE _FAD BJS_ ETUR RETU TURN _RET OW_E _IND",benign
"17O8 1VXL 2YSP 2ZOM 4PT_ 72YS 7O8Z 7_ID 8GRA 8HOK 8TKV 8ZIE 9Q2Z 9UZM AM4P AR_G AU9U B7_I BJSV BO9Q CDX_ CLDE CRSG DCDX DENT DETD DM8T DVZF DX_T D_1V ECRS EMIU ENTI ER_N ETDM EW_S EXZH FBO9 FIER G72Y GEMI GIYA GRAU G_DV HOKD HXN8 IDEN ID_1 IER_ IEXZ",benign
"EMIU GEMI IUS_ MIUS _GEM REF_ _REF AGE_ IMAG MAGE VAR_ _IMA _VAR US_I _IF_ NEW_ S_IM _NEW ING_ RING STRI TRIN EFER EOF_ ERRE E_GE FERR HREF PEOF REFE RER_ RRER TYPE T_RE URL_ US_P YPEO _HRE _SCR _TYP _URL ALT_ AMET ARAM CREE CUME DEFI DOCU EEN_ EFIN",benign
"_SO_ IDEO VIDE _SWF _VID E_VI O_AD SO_A SWF_ W_SW _ADD 00_2 024_ 0_25 0_8_ 200_ 2024 24_S 250_ 4_SO 50_8 8_EB ABLE ACT_ ADDP ADDV AM_W ANSP ARAM AREN ARIA AR_S B202 BJEC BLE_ CONT CREW CT_C CT_S DDPA DDVA DEOS DEOU DEO_ DESH DE_T DPAR DVAR EB20 ECT_",benign
"_517 _BAN ANXX BANX BYPO NXXB POZ_ XBYP XXBY YPOZ 5177 OZ_7 5176 AR_B R_BA VAR_ _VAR 0_BA 1_51 2_51 3_51 5178 5179 2_BA OZ_8 1_60 4_51 5_51 6027 62_B 6_BA 72_5 73_5 75_5 78_5 7_51 82_5 8_51 BAN_ OZ_1 _19_ _602 _71_ _72_ _73_ _74_ _75_ _78_ _79_ _81_",benign
"VAR_ 000_ 00_V 0_VA AR_S EED_ PEED SPEE _SPE _VAR 1000 9000 ACTI AR_C ATEA AY_9 CLIC CTIO CTRR DELA DE_S D_10 D_DE EACT ED_1 ED_D ELAY E_SP ICK_ IDE_ ION_ LAY_ LICK LIDE N_CL ON_C OTAT ROTA RROT R_CT R_SL R_SP SLID TATE TEAC TION TRRO Y_90 _100 _900",benign
"RACK TRAC ACKE CKER KER_ PAGE AGET ER__ ETRA GETR _PAG 0927 1_1_ 1_PA 21_1 2721 6092 721_ 9272 ACKP AGEV AR_P AT__ A_60 CKPA ER_U ETTR EVIE GAT_ GETT GEVI IEW_ KPAG R_PA R_UA R__G R__T TTRA T__G UA_6 VAR_ VIEW _1_P _609 _GAT _GET _TRA _UA_ __GA __GE",benign
"1725 1773 1VZN 259_ 35_K 4VMW 59_1 5_KH 6CA_ 7259 735_ 7735 8HYM 9_17 AH1V A_KE CA_K CTIO CUME CUS_ DOCU DOW_ EI__ ENT_ EXPI E_KE FOCU FUNC F_DO F_Q_ GLE_ GOOG H1VZ HL_P HYM4 INDO ION_ I_17 I__L KEI_ KEXP KHL_ LE_K LPWR L_FU L_PL M4VM MENT MWAH N6CA",benign
"THIS _THI HIS_ TION CTIO ION_ FUNC _FUN NCTI UNCT _VAR VAR_ _IF_ TYPE YPE_ MENT _PRO URN_ _RET TURN ETUR RETU OTOT OTYP PROT ROTO TOTY ENT_ N_A_ DGET ON_A IDGE WIDG _W__ N_W_ A_B_ UMEN _A_B LSE_ CUME DOCU OCUM _GET A_W_ _DOC E_W_ DOW_ INDO NDOW WIND",benign
"CRIP IPTM MGR_ PTMG RIPT SCRI TMGR _SCR _ADD ADDW DDWI DWIN GR_A INON LOAD NLOA NONL ONLO R_AD WINO 0919 1309 3091 919_ ADEV DEVE ENT_ EVEN OADE R_SC S_SC VENT _130 0_13 19_1 19_C 60_1 9_13 9_CA ACHE ADDH ADSH ANDL AR_S ASE_ ATCH CACH CASE CATC CHES",benign
"_S_P S_PR _PRO PROP E_S_ ABTE BTES EST_ PAGE S_EV TEST _ABT _S_E EVAR _EVA HOME ROP1 _HOM VAR1 AGE_ EPAG GE_S MEPA OMEP OTC_ _OTC C_HO TC_H ST_2 T_20 _200 ATE_ _S_C 1_OT CODE ODE_ _COD 0_S_ 1_S_ 5_S_ 9_S_ S_CO S_S_ _1_O _1_S 0051 0060 0070 0410 0512",benign
"ERY_ JQUE QUER UERY _JQU ELEM HIS_ THIS _THI TION _ELE _IF_ LEM_ _RET ION_ CTIO FUNC NCTI UNCT ENT_ _FUN TYPE NAME AME_ ETUR RETU TURN URN_ YPE_ VAR_ _VAR _TYP EVEN VENT MENT DATA _EVE _DAT _NAM NODE ATA_ _VAL LSE_ _SEL UMEN SELE RET_ _PAR ELEC LECT",benign
"_DQM DQM_ QM__ _IF_ _ID_ ITEM M__M VAL_ __MA MAIN _MAI Q16_ _Q16 TVAL _TVA ION_ TION AIN_ MITE INDE _Q15 _SD_ _SUB NDEX _PX_ _Q12 ARGI GIN_ MARG RGIN IF_Q _OFF 15_D GHT_ IGHT Q15_ _Q11 5_DQ _0_I ENT_ _MIT LEFT ENU_ LSE_ MENU CTIO EFT_ ID_Q 0_I_ _Q13",benign
"AJAX XAJA _XAJ JAX_ N_XA _JCX MENT ALL_ ARGU AR_X AX_C AX_J CALL CTIO ENTS ETUR FUNC GUME ION_ LL_J L_JC NCTI NTS_ ON_X RETU RGUM RN_X R_XA S_1_ TION TS_1 TURN UMEN UNCT URN_ VAR_ X_CA X_JC _ARG _CAL _FUN _RET 1_FU COMM ENT_ JCXS MMEN OMME _1_F _VAR",benign
"HIS_ THIS _THI MENU ENU_ IS_M ENT_ ION_ TION _IF_ ITEM STYL TYLE VAR_ YLE_ _STY _VAR MENT _SUB _MEN S_ME LSE_ FUNC _FUN CTIO NCTI UNCT A_TH CUME DOCU NU_S OCUM UMEN _DOC NAM_ TOP_ _NAM _VIS BITE EMS_ SUBI TEMS UBIT 0_TH DOW_ ITV_ _ITV IS_I IS_S VIS_",benign
"LINE _TS_ INE_ NEXT _NEX _LIN EXTL TLIN XTLI S_LI TS_L _IF_ ENT_ FONT HOWN OWN_ SHOW _FON INES MENT NES_ CROL CUME CURS DOCU EMP_ LER_ LLER OCUM OLLE ROLL RSOR SCRO SOR_ TEMP UMEN URSO _CUR _DOC _SCR _TEM E_NE _SHO EIGH ENGT GHT_ GTH_ IGHT LENG NGTH",benign
"MENT ENT_ CUME DOCU OCUM UMEN _DOC BYID ELEM EMEN ENTB ETEL GETE LEME NTBY NT_G STYL TBYI TELE TYLE T_GE YID_ YLE_ _GET _STY _HID ENU_ MENU _MEN DDEN DEN_ HIDD IDDE VAR_ _VAR ATTR EN_M N_ME TRIB TTRI _ATT NT_L AYER ERS_ LAYE T_LA YERS _LAY ISIB VISI",benign
"TION CTIO ECTI SECT _SEC ION_ HIS_ THIS _THI _ID_ MENT ELF_ SELF _SEL IONS ENT_ NODE DES_ ODES CNT_ _IF_ S_I_ _NOD ELEM EMEN LEME VAR_ _VAR F_SE ITEM ONS_ ES_I HIDE _ITE T_SE FUNC IDTH NCTI UNCT WIDT _FUN _GET ID_S INDE ISIB NDEX VISI _VIS UMEN BLE_",benign
"_OBJ VAR_ _VAR _EL_ _IF_ ENT_ ELEM EVEN OBJ_ VENT MENT INDE CLAS EMEN LASS LEME NAME OBJS NDEX MOVE ASS_ DEX_ AME_ TELE NODE ODE_ ION_ TION DOW_ INDO NDOW S_I_ WIND _FUN _WIN CTIO FUNC NCTI UNCT CITY DER_ FADE _FAD BJS_ ETUR RETU TURN _RET OW_E _IND",benign
"MENT _TD_ BYID CUME DOCU ELEM EMEN ENTB ENT_ ETEL GETE LEME NTBY NT_G OCUM TBYI TELE T_GE UMEN YID_ _DOC _GET 1_A_ 4_A_ ACJA ALIZ AME_ AR_A ASSN A_1_ A_4_ A_DO A_TD BELK CJA_ CLAS DISP DIV_ D_DI D_TD D__A ELKA E_DI E_TY FOR_ ID_D ISPL IZAC IZUA JA_T",benign
"BELK ELKA _BEL 478X 78X3 8X30 A478 KA47 LKA4 X30_ _SCR 1X1_ APE_ CAPE CRIP ESCA IPT_ NESC ORA_ PE_3 RIPT SCAP SCRI UNES _1X1 _2__ _UNE 00__ 024_ 0_4_ 0__L 1024 314X 3C_S 60__ AIN_ ATIO A_SR CATI COL_ CREE C_SC DEK_ DMEN EEN_ ENU_ E_3C E_3E GORA ION_",benign
"GIF_ _GIF 00_G 0_GI 1300 300_ _130 2_J_ IF_1 J_D_ J_N_ L_13 S_13 _J_D _J_N _L_1 _S_1 F_2_ IF_2 _2_J F_11 D_L_ D_S_ N_L_ N_S_ UDNI _D_L _D_S _N_L _N_S _117 _131 11_G 1311 1_GI 311_ AD_R ANEM CZOR DNIE DNIU D_PO D_RA ECZO ED_P IECZ IEM_ NAD_ NEM_ NIEM",benign
"JPG_ _JPG 1196 G_I_ I_11 PG_I _119 _I_1 _S_I 1968 7_IN G7_I INIT INPL L_SG NPL_ PL_S SG7_ _INI _SG7 AGES CTIO ERY_ ES_S EW_F FUNC GES_ GIF_ IMAG ION_ ITIM MAGE NCTI NEW_ NITI N_S_ ON_S S_IN S_S_ TIMA TION UNCT W_FU _FUN _GIF _INP _NEW 0_JP 9685 ALLE",benign
"0000 NUGG _NUG GAD_ GGAD UGGA AD_N ANDO DOM_ D_NE HTTP NDOM RAND TTP_ _HTT _RAN 000_ 1000 1838 1857 1952 1_NU 1_RA 2863 31_N 3861 5286 571_ 6185 631_ 71_R 8386 8571 8618 8631 9195 9528 AD_S AGE_ AR_N ATA_ ATH_ ATIO A_IF BK_N CATI CDAT COL_ C_HT DATA",benign
"ENT_ MENT CUME DOCU ITE_ NT_W OCUM RITE T_WR UMEN WRIT _DOC _WRI _BR_ _0_C _TD_ _TR_ FFFF ING_ TE_T 0_CE ABLE BLE_ CELL G_0_ NG_0 TABL _CEL _TAB A_HR BSP_ DTH_ HREF IDTH NBSP REF_ TR_T WIDT _A_H _HRE _NBS _WID BORD DER_ DIV_ ER_0 ORDE RDER R_0_ R_DO",benign
"BSP_ NBSP _NBS CUME DOCU ENT_ ITE_ MENT NT_W OCUM RITE T_WR UMEN WRIT _DOC _WRI _EN_ CIEZ EZKA EZYK IEZK JEZY SCIE ZKA_ ZYK_ _JEZ _PL_ _SCI ASS_ A_X_ CLAS LASS SS_O S_OD _CLA _IF_ _ODN A_HR DNOS E_A_ F_JE GORN HREF IF_J KA_X NOSN ODNO OSNI REF_ SNIK",benign
"_0_C 0_CE 0_HE 460_ 60_H ABLE BLE_ BSP_ CELL CUME DIV_ DOCU DTH_ EIGH ENT_ GHT_ G_0_ HEIG HT_1 H_46 IDTH IGHT ING_ ITE_ MENT NBSP NG_0 NT_W OCUM RITE TABL TH_4 TR_T T_1_ T_WR UMEN WIDT WRIT _460 _CEL _DIV _HEI _NBS _TAB _TD_ _TR_ _WID _WRI 0_CO 1_NB",benign
"ELEM LEM_ OMOC POMO _POM MOC_ _ELE C_EL OC_E MOUS NMOU ONMO OUSE USEO _ONM MENT HTML TML_ _HTM ENT_ CUME DOCU OCUM UMEN _DOC _BR_ R_PO HREF OUT_ OVER REF_ VER_ _HRE Z_PO KAZ_ KRYJ OKAZ POKA RYJ_ UKRY _POK _UKR EOUT AZ_P EOVE SEOU SEOV A_HR J_PO YJ_P",benign
"EVEN TYPE VENT ENT_ OBJ_ _OBJ ADDE BJ_A DDEV DEVE LSE_ YPE_ _IF_ ADJS CRIP DJS_ ETUR EVTY E_FN IPT_ LOAD OADJ PE_F RETU RIPT SCRI SRC_ TURN URN_ VTYP _EVT _FN_ _JA_ _LOA _RET _SCR _SRC _TYP AADD ACHE ALSE ASH_ ATTA A_NE CHEV CTIO DEFI DULE EFIN ELSE",benign
"VAR_ _VAR _IF_ ION_ _OBJ OBJ_ STYL TION TYLE YLE_ _GET ETST TSTY ENT_ _BOT _JA_ _SET CLAS LASS SETS _COL CTIO FUNC NCTI UNCT WRAP AME_ MENT NAME _FUN DIV_ RAP_ RENT SRC_ _MOD ADON COLW CONT COOR EADO IGHT IMG_ LWRA OLWR READ _CON ASS_ BOTS CHIL EIGH",benign
"SLWI ASLW JASL LWI_ _JAS DULE MODU ODUL _MOD I_MO ULES WI_M EXT_ TEXT ESTE LEST STEX OBJ_ _OBJ EIGH GHT_ HEIG IGHT _HEI ION_ TION _GET CTIO FUNC MENT NCTI T_JA UNCT VAR_ _FUN _VAR APSE COLL ENT_ LAPS LLAP OLLA PSEH SEH_ T_J_ ULE_ XT_J _COL BJ_J ELEM",benign
"MENT _SEL AREA REA_ TARE SELE _TXT CUME DOCU ENT_ OCUM UMEN _DOC FORM CTIO TION VAR_ _VAR TXTA ENGT GTH_ LENG NGTH ECTI ELEC END_ LECT XTAR AME_ ELNA LNAM NAME _ELN _FOR EA_S ELEM EMEN LEME _TAR A_VA S_EL WRAP _LEN _WRA ALUE AR_S ELEN ENTS INPU LEND",benign
"MENT IMAG MAGE ENT_ ELEM EMEN LEME _OBJ IGHT AGE_ _IMA ION_ TION UMEN _ELE CUME DOCU OCUM _DOC _VAR VAR_ TBOX EIGH CTIO GHTB HTBO LIGH _SET GHT_ HEIG FUNC NCTI UNCT _FUN _IF_ ATTR IBUT RIBU TRIB TTRI BOX_ BUTE INK_ LINK UTE_ DTH_ IDTH WIDT _GET ARRA",benign
